name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,season,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified
Aaron Anselmino,DEF,Chelsea,1.8,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2025-02-14T20:00:00Z,0,5,0,0,0,0,25,0,0,0,0,3,0.0,0,0,0,0,40,False,0,25,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.5,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2025-02-22T17:30:00Z,0,2,0,0,0,0,26,0,156,0,1,2,0.0,0,82,92,10,40,False,0,26,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,1.0,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,268,0,0,0.0,0.0,2025-02-25T20:15:00Z,0,17,0,0,0,0,27,0,236,0,0,4,0.0,0,29,58,29,40,True,0,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.5,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,273,0,0,0.0,0.0,2025-03-09T14:00:00Z,0,11,0,0,0,0,28,0,325,0,0,1,0.0,0,21,52,31,40,True,0,28,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.0,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,281,0,0,0.0,0.0,2025-03-16T13:30:00Z,0,1,0,0,0,0,29,0,436,0,0,1,0.0,0,4,31,27,40,False,0,29,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.5,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,18,0,0,0,0,30,0,442,0,0,1,0.0,0,6,30,24,40,True,0,30,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.5,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2025-04-06T13:00:00Z,0,4,0,0,0,0,31,0,453,0,0,0,0.0,0,6,22,16,40,False,0,31,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.0,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,10,0,0,0,0,32,0,502,0,2,2,0.0,0,9,29,20,40,True,0,32,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.0,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,325,0,0,0.0,0.0,2025-04-20T13:00:00Z,0,9,0,0,0,0,33,0,577,0,2,1,0.0,0,14,34,20,40,False,0,33,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.0,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,334,0,0,0.0,0.0,2025-04-26T11:30:00Z,0,8,0,0,0,0,34,0,590,0,0,1,0.0,0,-3,22,25,40,True,0,34,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.0,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,345,0,0,0.0,0.0,2025-05-04T15:30:00Z,0,12,0,0,0,0,35,0,560,0,1,3,0.0,0,-12,19,31,40,True,0,35,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.0,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,356,0,0,0.0,0.0,2025-05-11T11:00:00Z,0,15,0,0,0,0,36,0,552,0,0,2,0.0,0,-10,22,32,40,False,0,36,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,0.0,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,365,0,0,0.0,0.0,2025-05-16T19:15:00Z,0,14,0,0,0,0,37,0,563,0,0,1,0.0,0,7,21,14,40,True,0,37,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Anselmino,DEF,Chelsea,-0.5,0,0,0,0,0.0,774,0.0,0.0,0.0,0.0,377,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,16,0,0,0,0,38,0,619,0,1,0,0.0,0,23,48,25,40,False,0,38,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,127,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,12,0,0,0,0,1,0,5621,0,1,4,0.0,0,0,0,0,45,True,0,1,2023-24,,,,,,,,
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,127,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,20,0,0,0,0,2,0,4093,0,4,1,0.0,0,-1441,0,1441,45,False,0,2,2023-24,,,,,,,,
